Id Uf;NR Ano;Qe I02;Contagem de ID Dados
Rio de Janeiro;2017;Não declarar;1714
Rio de Janeiro;2017;Indígena;172
Rio de Janeiro;2017;Parda;12630
Rio de Janeiro;2017;Amarela;760
Rio de Janeiro;2017;Preta;5502
Rio de Janeiro;2017;Branca;22429
Rio de Janeiro;2018;Não declarar;1189
Rio de Janeiro;2018;Indígena;151
Rio de Janeiro;2018;Parda;14634
Rio de Janeiro;2018;Amarela;881
Rio de Janeiro;2018;Preta;5994
Rio de Janeiro;2018;Branca;25346
Rio de Janeiro;2019;Não declarar;838
Rio de Janeiro;2019;Indígena;107
Rio de Janeiro;2019;Parda;10253
Rio de Janeiro;2019;Amarela;585
Rio de Janeiro;2019;Preta;3679
Rio de Janeiro;2019;Branca;18870
